preco;ano;kms;cidade;estado;modelo_carro;marca
7750;2008;125913;Buford; GA;Accord;Honda
7750;2010;93044;Eatontown; NJ;Accord;Honda
7750;2011;107836;San Antonio; TX;Accord;Honda
7760;2008;128240;Lugoff; SC;Accord;Honda
7777;2008;129478;Everett; WA;Accord;Honda
7777;2009;130477;Fort Pierce; FL;Accord;Honda
7786;2006;85689;Schaumburg; IL;Accord;Honda
7788;2007;127801;Jacksonville; FL;Accord;Honda
7788;2007;69112;East Windsor; NJ;Accord;Honda
7790;2010;106908;Wantagh; NY;Accord;Honda
7795;2007;121495;Idaho Falls; ID;Accord;Honda
7797;2007;99644;Hampstead; MD;Accord;Honda
7799;2008;126573;Columbus; MS;Accord;Honda
7799;2009;125984;Chesapeake; VA;Accord;Honda
7800;2007;79066;Batavia; NY;Accord;Honda
7800;2007;86834;Abilene; TX;Accord;Honda
7800;2007;124696;Naperville; IL;Accord;Honda
7800;2008;111289;Allentown; PA;Accord;Honda
7800;2009;126385;Conroe; TX;Accord;Honda
7800;2010;122806;Glen Burnie; MD;Accord;Honda
7816;2007;115650;Spotsylvania; VA;Accord;Honda
7823;2009;99651;Hollywood; FL;Accord;Honda
7834;2006;111897;Saint Louis Park; MN;Accord;Honda
7835;2010;106328;Fredericksburg; VA;Accord;Honda
7849;2007;119257;Indianapolis; IN;Accord;Honda
7850;2006;90552;Silver Spring; MD;Accord;Honda
7864;2009;101365;Lagrange; GA;Accord;Honda
7877;2007;91888;Akron; OH;Accord;Honda
7881;2010;130767;Addison; TX;Accord;Honda
7885;2008;86400;Grand Island; NY;Accord;Honda
7888;2007;105479;Texarkana; TX;Accord;Honda
7888;2008;120535;Chantilly; VA;Accord;Honda
7888;2011;106310;Long Island City; NY;Accord;Honda
7889;2008;113569;Sanford; FL;Accord;Honda
7900;2007;79370;Kingston; NY;Accord;Honda
7900;2008;120104;Cypress; TX;Accord;Honda
7900;2008;95700;OSSEO; MN;Accord;Honda
7900;2008;141903;Murphy; TX;Accord;Honda
7900;2009;62772;Pleasanton; CA;Accord;Honda
7900;2009;83449;Paterson; NJ;Accord;Honda
7900;2009;110960;Oakland Park; FL;Accord;Honda
7900;2009;110000;Spring Valley; CA;Accord;Honda
7900;2010;89957;Bronx; NY;Accord;Honda
7900;2010;99376;Houston; TX;Accord;Honda
7900;2011;111937;Austin; TX;Accord;Honda
7900;2011;123291;Springfield; VA;Accord;Honda
7901;2010;129004;Alpharetta; GA;Accord;Honda
7908;2008;133775;Sauk City; WI;Accord;Honda
7910;2010;109852;Randolph; NJ;Accord;Honda
7912;2008;127565;Denison; TX;Accord;Honda
7922;2008;122610;Jacksonville; FL;Accord;Honda
7923;2007;102953;Jacksonville; FL;Accord;Honda
7929;2007;111793;Jacksonville; Fl;Accord;Honda
7933;2007;141769;Olympia; WA;Accord;Honda
7934;2007;123404;Little Rock; AR;Accord;Honda
7942;2009;108819;Doylestown; PA;Accord;Honda
7946;2008;133004;North Richland Hills; TX;Accord;Honda
7949;2006;85193;South Portland; ME;Accord;Honda
7950;2006;108185;Waterbury; CT;Accord;Honda
7950;2007;118578;Columbus; GA;Accord;Honda
7950;2008;82304;Sarasota; FL;Accord;Honda
7950;2008;105639;Bronx; NY;Accord;Honda
7950;2009;121990;Levittown; PA;Accord;Honda
7950;2009;137282;Johnson City; TN;Accord;Honda
7950;2009;137885;Norco; CA;Accord;Honda
7950;2010;137465;Cary; NC;Accord;Honda
7957;2007;121163;Medford; OR;Accord;Honda
7969;2011;121680;Denton; TX;Accord;Honda
7974;2008;130451;Indianapolis; IN;Accord;Honda
7975;2008;99335;Riverdale; NJ;Accord;Honda
7977;2006;132513;Morrow; GA;Accord;Honda
7977;2008;119910;Nashua; NH;Accord;Honda
7980;2006;106243;Lewisville; TX;Accord;Honda
7980;2007;70110;Miami; FL;Accord;Honda
7980;2007;121224;Manassas; VA;Accord;Honda
7980;2009;100516;Stanhope; NJ;Accord;Honda
7980;2009;137708;Hodgkins; IL;Accord;Honda
7982;2009;78328;Miami; FL;Accord;Honda
7984;2007;98939;Waukesha; WI;Accord;Honda
7984;2009;132061;Highlands Ranch; CO;Accord;Honda
7986;2006;124009;Houston; TX;Accord;Honda
7986;2008;97235;Las Vegas; NV;Accord;Honda
7988;2006;115457;Lawrence; KS;Accord;Honda
7988;2007;122602;Raleigh; NC;Accord;Honda
7988;2008;97834;Merrillville; IN;Accord;Honda
7988;2008;124879;Garland; TX;Accord;Honda
7988;2009;103106;Whitman; MA;Accord;Honda
7989;2007;81929;Auburn; MA;Accord;Honda
7989;2009;117709;Henderson; NV;Accord;Honda
7990;2006;100930;Sioux Falls; SD;Accord;Honda
7990;2007;130230;Inver Grove Heights; MN;Accord;Honda
7990;2008;107699;North Palm Beach; FL;Accord;Honda
7990;2008;120000;Farmers Branch; TX;Accord;Honda
7990;2008;142547;Charlotte; NC;Accord;Honda
7990;2009;73469;Miami; FL;Accord;Honda
7990;2009;109000;Lawndale; CA;Accord;Honda
7990;2009;136659;Chesapeake; VA;Accord;Honda
7990;2009;140385;Indianapolis; IN;Accord;Honda
7990;2010;131030;Manchester; CT;Accord;Honda
7990;2011;113512;Alpharetta; GA;Accord;Honda
7991;2007;90558;Des Plaines; IL;Accord;Honda
7991;2008;107999;Albuquerque; NM;Accord;Honda
7991;2008;103102;St. Augustine; FL;Accord;Honda
7991;2009;106990;Orlando; FL;Accord;Honda
7991;2009;131900;Oklahoma City; OK;Accord;Honda
7991;2010;143385;Orlando; FL;Accord;Honda
7991;2011;39185;Hollywood; FL;Accord;Honda
7992;2007;91483;Roswell; GA;Accord;Honda
7992;2008;102246;Miami; FL;Accord;Honda
7992;2010;120633;San Antonio; TX;Accord;Honda
7993;2009;138321;Abilene; TX;Accord;Honda
7993;2010;130050;Auburn; AL;Accord;Honda
7994;2007;87811;Fairfax; VA;Accord;Honda
7994;2007;99021;Fairfax; VA;Accord;Honda
7994;2008;136266;Fairfax; VA;Accord;Honda
7994;2009;115567;Fairfax; VA;Accord;Honda
7994;2010;109417;Boardman; OH;Accord;Honda
7995;2006;66036;Melrose Park; IL;Accord;Honda
7995;2006;83199;Portland; OR;Accord;Honda
7995;2006;121886;Madison; WI;Accord;Honda
7995;2006;85646;Bensenville; IL;Accord;Honda
7995;2006;110443;Warminster; PA;Accord;Honda
7995;2006;144672;Wilmington; NC;Accord;Honda
7995;2006;99547;Dade City; FL;Accord;Honda
7995;2006;96400;Naugatuck; CT;Accord;Honda
7995;2006;134004;O'Fallon; IL;Accord;Honda
7995;2007;87224;Milwaukee; WI;Accord;Honda
7995;2007;89451;Morristown; NJ;Accord;Honda
7995;2007;92819;Las Vegas; NV;Accord;Honda
7995;2007;94444;Gainesville; FL;Accord;Honda
7995;2007;134392;Sacramento; CA;Accord;Honda
7995;2007;140741;Pinellas Park; FL;Accord;Honda
7995;2007;89496;Elmhurst; IL;Accord;Honda
7995;2007;112243;Nashville; TN;Accord;Honda
7995;2007;126832;Spring City; PA;Accord;Honda
7995;2007;133803;Des Moines; IA;Accord;Honda
7995;2008;114385;Victorville; CA;Accord;Honda
7995;2008;119174;Braintree; MA;Accord;Honda
7995;2008;103672;Alexandria; VA;Accord;Honda
7995;2008;128919;Kingston; NH;Accord;Honda
7995;2008;108353;Virgina Beach; VA;Accord;Honda
7995;2008;143206;Fairburn; GA;Accord;Honda
7995;2008;143569;Tucson; AZ;Accord;Honda
7995;2008;116881;Ridgewood; NY;Accord;Honda
